Date : 2020-12-30 10:29:43
Directory : /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management
Total : 109 files,  3681 codes, 184 comments, 304 blanks, all 4169 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/canvas/index.tsx              | TypeScript React |         65 |          2 |         14 |         81 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/login/identityInput/index.tsx | TypeScript React |        188 |         13 |         29 |        230 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/login/index.tsx               | TypeScript React |         49 |          0 |          7 |         56 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/login/style.scss              | SCSS             |         77 |          0 |          1 |         78 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/register/index.tsx            | TypeScript React |        141 |          0 |         14 |        155 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/register/style.scss           | SCSS             |         36 |          0 |          1 |         37 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/index.tsx                                | TypeScript React |         81 |          0 |         11 |         92 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/rules/home.ts                            | TypeScript       |         37 |          6 |          5 |         48 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/rules/index.ts                           | TypeScript       |         61 |          7 |          3 |         71 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/rules/signin.ts                          | TypeScript       |         79 |          7 |          6 |         92 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/style.scss                               | SCSS             |         44 |          0 |          1 |         45 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/fonts/iconfont.css                                         | CSS              |         24 |          0 |          6 |         30 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/fonts/iconfont.svg                                         | XML              |         22 |          3 |         11 |         36 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/canvas/canvas.interface.ts                      | TypeScript       |         12 |          3 |          1 |         16 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/canvas/index.ts                                 | TypeScript       |          1 |          0 |          0 |          1 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/index.ts                                   | TypeScript       |          3 |          0 |          0 |          3 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/manage.interface.ts                        | TypeScript       |          3 |          0 |          0 |          3 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/search.interface.ts                        | TypeScript       |         14 |         11 |          2 |         27 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/usertable.interface.ts                     | TypeScript       |         17 |          9 |          4 |         30 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/http.interface.ts                               | TypeScript       |          5 |          0 |          0 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/index.ts                                        | TypeScript       |          7 |          0 |          0 |          7 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/asideList.interface.ts                     | TypeScript       |          6 |          0 |          0 |          6 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/collegeInfo.interface.ts                   | TypeScript       |          5 |          3 |          1 |          9 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/courseInfo.interface.ts                    | TypeScript       |         14 |          3 |          2 |         19 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/index.ts                                   | TypeScript       |          7 |          0 |          0 |          7 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/majorInfo.interface.ts                     | TypeScript       |          5 |          8 |          1 |         14 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/studentGrade.interface.ts                  | TypeScript       |          8 |         11 |          1 |         20 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/studentInfo.interface.ts                   | TypeScript       |         12 |          3 |          1 |         16 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/mock/teacherInfo.interface.ts                   | TypeScript       |         11 |          3 |          1 |         15 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/ref.interface.ts                                | TypeScript       |          5 |          0 |          0 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/index.ts                                 | TypeScript       |          3 |          0 |          0 |          3 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/login.interface.ts                       | TypeScript       |         24 |          1 |          6 |         31 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/register.interface.ts                    | TypeScript       |          8 |          3 |          1 |         12 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/validate.interface.ts                    | TypeScript       |          5 |          0 |          0 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/storage/index.interface.ts                      | TypeScript       |          6 |          0 |          0 |          6 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/storage/index.ts                                | TypeScript       |          1 |          0 |          0 |          1 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/lang/index.ts                                              | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/lang/lang.tsx                                              | TypeScript React |          8 |          0 |          1 |          9 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/lang/zh_CN.ts                                              | TypeScript       |         27 |          0 |          2 |         29 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/main.ts                                                    | TypeScript       |         13 |          0 |          4 |         17 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/reset.scss                                                 | SCSS             |         64 |          1 |          5 |         70 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/router/index.ts                                            | TypeScript       |         48 |          1 |          6 |         55 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/shims-tsx.d.ts                                             | TypeScript       |         10 |          2 |          2 |         14 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/shims-vue.d.ts                                             | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/home/actions.ts                                      | TypeScript       |         23 |         15 |          3 |         41 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/home/home.interface.ts                               | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/home/index.ts                                        | TypeScript       |         14 |          0 |          2 |         16 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/home/mutationType.ts                                 | TypeScript       |          0 |          0 |          1 |          1 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/home/mutations.ts                                    | TypeScript       |          4 |          0 |          2 |          6 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/index.ts                                             | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/rootState.interface.ts                               | TypeScript       |          6 |          0 |          1 |          7 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/signin/actions.ts                                    | TypeScript       |         68 |         10 |          4 |         82 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/signin/getters.ts                                    | TypeScript       |          5 |          0 |          2 |          7 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/signin/index.ts                                      | TypeScript       |         32 |          3 |          2 |         37 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/signin/mutationTypes.ts                              | TypeScript       |          3 |          0 |          0 |          3 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/signin/mutations.ts                                  | TypeScript       |         19 |          0 |          1 |         20 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/store/signin/signin.interface.ts                           | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/types/json.d.ts                                            | TypeScript       |          4 |          0 |          0 |          4 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/ajax.ts                                              | TypeScript       |         14 |          0 |          5 |         19 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/array.ts                                             | TypeScript       |         15 |          2 |          1 |         18 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/index.ts                                             | TypeScript       |          5 |          0 |          0 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/json.ts                                              | TypeScript       |         15 |          4 |          2 |         21 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/localStorage.ts                                      | TypeScript       |         36 |          5 |          7 |         48 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/mock.ts                                              | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/string.ts                                            | TypeScript       |          8 |          4 |          0 |         12 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/utlis/validate.ts                                          | TypeScript       |         21 |          4 |          2 |         27 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/vars.scss                                                  | SCSS             |          3 |          0 |          0 |          3 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/tsconfig.json                                                  | JSON             |         30 |         11 |          1 |         42 |
| /Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/vue.config.js                                                  | JavaScript       |         15 |          2 |          0 |         17 |
| Total                                                                                                                                   |                  |      3,681 |        184 |        304 |      4,169 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
